text,task,time,date
Call the client on June 28,Call the client on,,June 28
Call the client on May 28,Call the client on,,May 28
Schedule a team meeting for July 12 at 7:15pm,Schedule a team meeting,7:15pm,July 12
Meet with HR at 4:15pm,Meet with hr at,4:15pm,
Send the invoice on May 28,Send the invoice on,,May 28
Schedule a team meeting for May 25 at 12:45pm,Schedule a team meeting,12:45pm,May 25
Meet with HR at 3:30pm,Meet with hr at,3:30pm,
Set up a one-on-one on July 15 at 7:15am,Set up a one-on-one,7:15am,July 15
Set up a one-on-one on May 30 at 4:00pm,Set up a one-on-one,4:00pm,May 30
Check email updates around 3:00pm,Check email updates around,3:00pm,
Submit the quarterly report by 7:30pm,Submit the quarterly report,7:30pm,
I need to review my applications at 1:45pm,I need to review,1:45pm,
Finish the budget review before 9:45am,Finish the budget review,9:45am,
Meet with HR at 9:15am,Meet with hr at,9:15am,
Send the invoice on July 18,Send the invoice on,,July 18
Call the client on July 13,Call the client on,,July 13
Call the client on July 17,Call the client on,,July 17
Set up a one-on-one on June 30 at 11:00am,Set up a one-on-one,11:00am,June 30
Schedule a team meeting for May 31 at 2:45pm,Schedule a team meeting,2:45pm,May 31
Set up a one-on-one on July 10 at 4:45pm,Set up a one-on-one,4:45pm,July 10
Set up a one-on-one on July 8 at 8:15pm,Set up a one-on-one,8:15pm,July 8
Check email updates around 1:15pm,Check email updates around,1:15pm,
Submit the quarterly report by 11:30am,Submit the quarterly report,11:30am,
I need to review my applications at 4:15pm,I need to review,4:15pm,
Send the invoice on July 10,Send the invoice on,,July 10
Set up a one-on-one on July 3 at 7:45pm,Set up a one-on-one,7:45pm,July 3
Submit the quarterly report by 8:45pm,Submit the quarterly report,8:45pm,
I need to review my applications at 6:45pm,I need to review,6:45pm,
Check email updates around 10:00am,Check email updates around,10:00am,
I need to review my applications at 6:15pm,I need to review,6:15pm,
Call the client on June 30,Call the client on,,June 30
Prepare slides for the presentation on May 26,Prepare slides for the,,May 26
Check email updates around 5:00pm,Check email updates around,5:00pm,
Prepare slides for the presentation on July 3,Prepare slides for the,,July 3
Finish the budget review before 6:15pm,Finish the budget review,6:15pm,
Submit the quarterly report by 11:00am,Submit the quarterly report,11:00am,
Call the client on June 19,Call the client on,,June 19
Set up a one-on-one on June 5 at 7:30am,Set up a one-on-one,7:30am,June 5
Check email updates around 3:00pm,Check email updates around,3:00pm,
Call the client on July 14,Call the client on,,July 14
Prepare slides for the presentation on July 2,Prepare slides for the,,July 2
Meet with HR at 7:30pm,Meet with hr at,7:30pm,
Finish the budget review before 10:30am,Finish the budget review,10:30am,
Set up a one-on-one on July 1 at 4:00pm,Set up a one-on-one,4:00pm,July 1
Submit the quarterly report by 3:30pm,Submit the quarterly report,3:30pm,
Meet with HR at 8:00pm,Meet with hr at,8:00pm,
Send the invoice on July 19,Send the invoice on,,July 19
Call the client on June 18,Call the client on,,June 18
Check email updates around 9:15pm,Check email updates around,9:15pm,
Call the client on June 7,Call the client on,,June 7
Check email updates around 8:00am,Check email updates around,8:00am,
Send the invoice on June 14,Send the invoice on,,June 14
Meet with HR at 10:45am,Meet with hr at,10:45am,
Send the invoice on June 10,Send the invoice on,,June 10
Meet with HR at 12:45pm,Meet with hr at,12:45pm,
I need to review my applications at 4:00pm,I need to review,4:00pm,
Call the client on May 24,Call the client on,,May 24
Finish the budget review before 6:30am,Finish the budget review,6:30am,
Check email updates around 6:30pm,Check email updates around,6:30pm,
Send the invoice on July 3,Send the invoice on,,July 3
Submit the quarterly report by 11:30am,Submit the quarterly report,11:30am,
Meet with HR at 11:30am,Meet with hr at,11:30am,
Prepare slides for the presentation on June 1,Prepare slides for the,,June 1
Meet with HR at 6:45pm,Meet with hr at,6:45pm,
Check email updates around 12:15pm,Check email updates around,12:15pm,
Set up a one-on-one on June 30 at 3:15pm,Set up a one-on-one,3:15pm,June 30
Schedule a team meeting for July 10 at 10:30am,Schedule a team meeting,10:30am,July 10
Check email updates around 1:15pm,Check email updates around,1:15pm,
Set up a one-on-one on June 15 at 9:30am,Set up a one-on-one,9:30am,June 15
Call the client on July 3,Call the client on,,July 3
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Send the invoice on June 14,Send the invoice on,,June 14
Call the client on July 20,Call the client on,,July 20
Set up a one-on-one on June 11 at 1:15pm,Set up a one-on-one,1:15pm,June 11
Meet with HR at 5:00pm,Meet with hr at,5:00pm,
Meet with HR at 9:45am,Meet with hr at,9:45am,
Prepare slides for the presentation on June 23,Prepare slides for the,,June 23
Finish the budget review before 6:30pm,Finish the budget review,6:30pm,
Set up a one-on-one on July 9 at 4:45pm,Set up a one-on-one,4:45pm,July 9
Finish the budget review before 2:15pm,Finish the budget review,2:15pm,
Schedule a team meeting for July 16 at 3:00pm,Schedule a team meeting,3:00pm,July 16
Meet with HR at 8:00am,Meet with hr at,8:00am,
Send the invoice on May 24,Send the invoice on,,May 24
Schedule a team meeting for June 7 at 4:15pm,Schedule a team meeting,4:15pm,June 7
I need to review my applications at 8:30am,I need to review,8:30am,
Check email updates around 3:00pm,Check email updates around,3:00pm,
Finish the budget review before 8:00pm,Finish the budget review,8:00pm,
Prepare slides for the presentation on June 3,Prepare slides for the,,June 3
Call the client on July 12,Call the client on,,July 12
Check email updates around 9:00pm,Check email updates around,9:00pm,
Check email updates around 8:30pm,Check email updates around,8:30pm,
I need to review my applications at 2:15pm,I need to review,2:15pm,
Submit the quarterly report by 3:00pm,Submit the quarterly report,3:00pm,
Prepare slides for the presentation on June 14,Prepare slides for the,,June 14
Set up a one-on-one on June 25 at 9:45am,Set up a one-on-one,9:45am,June 25
I need to review my applications at 10:45am,I need to review,10:45am,
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Meet with HR at 5:45pm,Meet with hr at,5:45pm,
Call the client on June 16,Call the client on,,June 16
I need to review my applications at 4:45pm,I need to review,4:45pm,
Send the invoice on June 9,Send the invoice on,,June 9
Call the client on July 5,Call the client on,,July 5
Prepare slides for the presentation on June 24,Prepare slides for the,,June 24
Prepare slides for the presentation on July 10,Prepare slides for the,,July 10
Prepare slides for the presentation on June 22,Prepare slides for the,,June 22
Call the client on May 26,Call the client on,,May 26
Check email updates around 4:00pm,Check email updates around,4:00pm,
I need to review my applications at 7:00am,I need to review,7:00am,
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Schedule a team meeting for May 29 at 8:15am,Schedule a team meeting,8:15am,May 29
Submit the quarterly report by 4:30pm,Submit the quarterly report,4:30pm,
Schedule a team meeting for June 11 at 6:30am,Schedule a team meeting,6:30am,June 11
Send the invoice on June 30,Send the invoice on,,June 30
Check email updates around 11:00am,Check email updates around,11:00am,
Finish the budget review before 3:45pm,Finish the budget review,3:45pm,
Set up a one-on-one on June 21 at 9:15pm,Set up a one-on-one,9:15pm,June 21
Schedule a team meeting for July 17 at 7:45pm,Schedule a team meeting,7:45pm,July 17
Send the invoice on May 30,Send the invoice on,,May 30
I need to review my applications at 10:30am,I need to review,10:30am,
Meet with HR at 11:30am,Meet with hr at,11:30am,
Schedule a team meeting for July 11 at 8:15am,Schedule a team meeting,8:15am,July 11
Call the client on June 2,Call the client on,,June 2
Submit the quarterly report by 10:15am,Submit the quarterly report,10:15am,
Call the client on June 29,Call the client on,,June 29
Submit the quarterly report by 7:45am,Submit the quarterly report,7:45am,
I need to review my applications at 8:15am,I need to review,8:15am,
Finish the budget review before 9:15pm,Finish the budget review,9:15pm,
Meet with HR at 8:30pm,Meet with hr at,8:30pm,
Meet with HR at 11:45am,Meet with hr at,11:45am,
Meet with HR at 8:45am,Meet with hr at,8:45am,
Call the client on June 19,Call the client on,,June 19
Prepare slides for the presentation on June 25,Prepare slides for the,,June 25
Finish the budget review before 9:15pm,Finish the budget review,9:15pm,
Call the client on May 30,Call the client on,,May 30
Set up a one-on-one on June 14 at 8:45am,Set up a one-on-one,8:45am,June 14
Meet with HR at 1:00pm,Meet with hr at,1:00pm,
I need to review my applications at 11:45am,I need to review,11:45am,
Send the invoice on June 19,Send the invoice on,,June 19
Schedule a team meeting for July 10 at 12:45pm,Schedule a team meeting,12:45pm,July 10
Schedule a team meeting for June 10 at 11:00am,Schedule a team meeting,11:00am,June 10
Call the client on June 26,Call the client on,,June 26
Set up a one-on-one on July 16 at 12:45pm,Set up a one-on-one,12:45pm,July 16
Call the client on July 11,Call the client on,,July 11
Prepare slides for the presentation on June 5,Prepare slides for the,,June 5
Meet with HR at 10:15am,Meet with hr at,10:15am,
Call the client on July 4,Call the client on,,July 4
Schedule a team meeting for June 25 at 12:30pm,Schedule a team meeting,12:30pm,June 25
Finish the budget review before 2:45pm,Finish the budget review,2:45pm,
Send the invoice on June 4,Send the invoice on,,June 4
Call the client on June 5,Call the client on,,June 5
I need to review my applications at 4:30pm,I need to review,4:30pm,
Finish the budget review before 9:00pm,Finish the budget review,9:00pm,
Send the invoice on June 1,Send the invoice on,,June 1
Set up a one-on-one on May 25 at 11:45am,Set up a one-on-one,11:45am,May 25
Call the client on June 5,Call the client on,,June 5
Set up a one-on-one on July 6 at 8:45pm,Set up a one-on-one,8:45pm,July 6
Submit the quarterly report by 12:45pm,Submit the quarterly report,12:45pm,
Prepare slides for the presentation on May 29,Prepare slides for the,,May 29
Call the client on May 29,Call the client on,,May 29
Prepare slides for the presentation on June 25,Prepare slides for the,,June 25
Schedule a team meeting for July 16 at 11:00am,Schedule a team meeting,11:00am,July 16
I need to review my applications at 2:45pm,I need to review,2:45pm,
Send the invoice on July 3,Send the invoice on,,July 3
Schedule a team meeting for June 1 at 5:30pm,Schedule a team meeting,5:30pm,June 1
Schedule a team meeting for July 11 at 6:00pm,Schedule a team meeting,6:00pm,July 11
I need to review my applications at 12:00pm,I need to review,12:00pm,
Finish the budget review before 1:45pm,Finish the budget review,1:45pm,
Submit the quarterly report by 4:00pm,Submit the quarterly report,4:00pm,
Submit the quarterly report by 5:15pm,Submit the quarterly report,5:15pm,
Set up a one-on-one on July 9 at 8:00am,Set up a one-on-one,8:00am,July 9
Call the client on July 2,Call the client on,,July 2
I need to review my applications at 8:30am,I need to review,8:30am,
Send the invoice on May 24,Send the invoice on,,May 24
Set up a one-on-one on June 26 at 12:00pm,Set up a one-on-one,12:00pm,June 26
Check email updates around 9:00pm,Check email updates around,9:00pm,
Set up a one-on-one on June 28 at 9:00pm,Set up a one-on-one,9:00pm,June 28
Submit the quarterly report by 10:45am,Submit the quarterly report,10:45am,
Call the client on June 3,Call the client on,,June 3
Call the client on June 16,Call the client on,,June 16
Send the invoice on May 28,Send the invoice on,,May 28
Set up a one-on-one on May 28 at 8:00am,Set up a one-on-one,8:00am,May 28
Check email updates around 6:00pm,Check email updates around,6:00pm,
Call the client on June 29,Call the client on,,June 29
I need to review my applications at 8:15pm,I need to review,8:15pm,
Prepare slides for the presentation on June 2,Prepare slides for the,,June 2
Set up a one-on-one on June 8 at 12:00pm,Set up a one-on-one,12:00pm,June 8
Set up a one-on-one on June 14 at 12:45pm,Set up a one-on-one,12:45pm,June 14
Prepare slides for the presentation on July 2,Prepare slides for the,,July 2
Call the client on July 9,Call the client on,,July 9
Meet with HR at 9:15am,Meet with hr at,9:15am,
Finish the budget review before 11:00am,Finish the budget review,11:00am,
Finish the budget review before 6:45am,Finish the budget review,6:45am,
Meet with HR at 10:30am,Meet with hr at,10:30am,
I need to review my applications at 4:15pm,I need to review,4:15pm,
Set up a one-on-one on May 29 at 3:45pm,Set up a one-on-one,3:45pm,May 29
I need to review my applications at 12:30pm,I need to review,12:30pm,
Check email updates around 8:00am,Check email updates around,8:00am,
Schedule a team meeting for July 9 at 5:15pm,Schedule a team meeting,5:15pm,July 9
Set up a one-on-one on July 9 at 9:00pm,Set up a one-on-one,9:00pm,July 9
Submit the quarterly report by 1:45pm,Submit the quarterly report,1:45pm,
